Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Name:all 
Time Period: 2025-01-01 ~ 2025-12-31
Project:Ambient
Lab:all
Include QAQC Sampling: yes
Data was downloaded on March 19 2026 6:50 pm
The data contains the COMP code. 
For Help with COMP code, please check http://www.durhamwaterquality.org/COMPcode.php

Project,Lab Name,Station,Collection Date and Time,Rain in Last 24 Hours,Comp Code,Sample Collection,Air Temperature(C),Sky Condition,Flow Severity,Thalweg,Distance From Thalweg(m),Depth(m),QAQC Sample,Comments
"Ambient","SDWRF","LC2.0RBC","2025-03-11 10:40:00","No","G","Direct Dip","10.4","Overcast","3","Yes","","","","",
"Ambient","SDWRF","SI1.6SIC","2025-03-11 11:10:00","No","G","Direct Dip","10.5","Overcast","3","Yes","","","","",
"Ambient","SDWRF","TF6.5RCUT","2025-03-18 08:30:00","Yes","G","Direct Dip","9.5","Sunny","3","Yes","","","","",
"Ambient","SDWRF","TF4.4TC","2025-03-18 09:00:00","Yes","G","Direct Dip","6.8","Sunny","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-03-18 09:24:00","","","","","","","","","","","Site ID: TF4.4TC Plastic Bottle Lot# 240814A Filter Lot#G24105",
"Ambient","SDWRF","TF5.1RC","2025-03-18 09:30:00","Yes","G","Direct Dip","7.3","Sunny","3","Yes","","","","Duplicate Site.",
"Ambient","SDWRF","TF3.4TC","2025-03-18 10:00:00","Yes","G","Direct Dip","7.5","Sunny","3","Yes","","","","",
"Ambient","SDWRF","TF1.0TC","2025-03-18 10:40:00","Yes","G","Direct Dip","10","Sunny","3","Yes","","","","",
"Ambient","SDWRF","NE2.2NP","2025-03-18 11:15:00","Yes","G","Direct Dip","12.7","Sunny","3","Yes","","","","",
"Ambient","SDWRF","NE1.2NE","2025-03-18 11:40:00","Yes","G","Direct Dip","13.4","Sunny","3","No","20","","","",
"Ambient","SDWRF","NE0.0NE","2025-03-18 12:15:00","Yes","G","Direct Dip","14.7","Sunny","3","Yes","","","","",
"Ambient","SDWRF","NH4.4SCTD","2025-03-25 08:00:00","Yes","G","Direct Dip","8","Sunny","3","Yes","","","","",
"Ambient","SDWRF","NH3.3SC","2025-03-25 08:20:00","Yes","G","Direct Dip","8.4","Sunny","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-03-25 08:45:00","","","","","","","","","","","Site ID: NH3.0NHC Plastic Bottle Lot# 240814A Filter Lot#G24105",
"Ambient","SDWRF","NH2.3MC","2025-03-25 08:55:00","Yes","G","Direct Dip","8.4","Sunny","3","Yes","","","","Duplicate Site",
"Ambient","SDWRF","NH3.0NHC","2025-03-25 09:20:00","Yes","G","Direct Dip","9.6","Sunny","3","Yes","","","","",
"Ambient","SDWRF","NH1.0SC","2025-03-25 09:45:00","Yes","G","Direct Dip","11.3","Sunny","3","Yes","","","","",
"Ambient","SDWRF","NH0.0NHC","2025-03-25 10:10:00","Yes","G","Direct Dip","10.8","Sunny","3","Yes","","","","",
"Ambient","SDWRF","CC2.5CC","2025-03-25 10:40:00","Yes","G","Direct Dip","12.1","Sunny","3","Yes","","","","",
"Ambient","SDWRF","EN13.3ER","2025-04-01 08:10:00","Yes","G","Direct Dip","14","Partly Cloudy","3","Yes","","","","Pollen in stream",
"Ambient","SDWRF","EN10.3WC","2025-04-01 08:40:00","Yes","G","Direct Dip","13.2","Partly Cloudy","3","Yes","","","","Pollen in stream",
"Ambient","SDWRF","EN8.9ER","2025-04-01 09:05:00","Yes","G","Direct Dip","12.6","Partly Cloudy","3","Yes","","","","Move TOC QC to next week, Pollen in stream",
"Ambient","SDWRF","Field Blank","2025-04-01 09:35:00","","","","","","","","","","","Site ID: LR9.6LR Plastic Bottle Lot# 240814A Filter Lot# G24105",
"Ambient","SDWRF","LR9.6LR","2025-04-01 09:45:00","Yes","G","Direct Dip","12.3","Partly Cloudy","3","Yes","","","","Duplicate Site",
"Ambient","SDWRF","EN4.9ER","2025-04-01 10:30:00","Yes","G","Direct Dip","14.9","Sunny","3","Yes","","","","Pollen in stream",
"Ambient","SDWRF","PN1.9PN","2025-04-01 10:55:00","Yes","G","Direct Dip","15.9","Sunny","3","Yes","","","","",
"Ambient","SDWRF","LL3.4LLC","2025-04-01 11:25:00","Yes","G","Direct Dip","14.6","Sunny","3","Yes","","","","Pollen in stream",
"Ambient","SDWRF","LL4.6LLT2","2025-04-01 11:50:00","Yes","G","Direct Dip","15.3","Sunny","3","Yes","","","","Pollen in stream",
"Ambient","SDWRF","EL8.6SECUT","2025-04-08 08:00:00","Yes","G","Direct Dip","18.1","Sunny","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-04-08 08:20:00","","","","","","","","","","","Site ID:EL7.1EC",
"Ambient","SDWRF","EL7.1SEC","2025-04-08 08:20:00","Yes","G","Direct Dip","9.8","Sunny","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-04-08 08:35:00","","","","","","","","","","","Site ID:EL7.1EC",
"Ambient","SDWRF","EL7.1EC","2025-04-08 08:40:00","Yes","G","Direct Dip","12.9","Sunny","4","Yes","","","","",
"Ambient","SDWRF","EL5.5GC","2025-04-08 09:15:00","Yes","G","Direct Dip","11.7","Sunny","4","Yes","","","","Duplicate Site",
"Ambient","SDWRF","Field Blank","2025-04-08 09:15:00","","","","","","","","","","","Site ID: EL5.5GC Plastic Bottle Lot#  Filter Lot#",
"Ambient","SDWRF","EL1.9EC","2025-04-08 09:45:00","Yes","G","Direct Dip","11","Sunny","4","No","20","","","Ecoli Duplicate Site, TOC Duplicate Site, High flow sampled from bank",
